,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,RUNE-USD,1.473677599086555,7.0
1,SNX-USD,XMR-USD,0.015976882874399655,19.0
2,XTZ-USD,ZRX-USD,4.576644411819683,12.0
3,XTZ-USD,XLM-USD,12.797881242230417,16.0
4,XTZ-USD,UMA-USD,0.5463418025827642,4.0
5,ETC-USD,BCH-USD,0.16633293813933112,16.0
6,ETC-USD,CELO-USD,27.527358242736668,16.0
7,ETC-USD,ENJ-USD,46.84886404229958,17.0
8,ETC-USD,ZRX-USD,88.45332056994145,13.0
9,ETC-USD,COMP-USD,0.4166039878760712,8.0
10,ETC-USD,SUSHI-USD,15.86295636035014,12.0
11,ETC-USD,UMA-USD,10.553924535426466,11.0
12,ETC-USD,UNI-USD,3.260967016256095,11.0
13,LINK-USD,EOS-USD,6.509798651078119,7.0
14,LINK-USD,DOT-USD,1.0802756674086957,8.0
15,MKR-USD,YFI-USD,0.09987807135570356,23.0
16,MKR-USD,NEAR-USD,299.9561943211203,5.0
17,ATOM-USD,TRX-USD,203.55423437763125,22.0
18,ATOM-USD,BTC-USD,0.0005856227563399354,11.0
19,BCH-USD,XLM-USD,1486.6260587381962,16.0
20,BCH-USD,UMA-USD,63.451966144262656,7.0
21,BCH-USD,SOL-USD,5.788273694826111,15.0
22,CELO-USD,ZRX-USD,3.2111289641826315,7.0
23,CELO-USD,BTC-USD,3.424930225560447e-05,3.0
24,CELO-USD,DOT-USD,0.11863024201561934,12.0
25,CELO-USD,SOL-USD,0.03494967917852399,14.0
26,CELO-USD,UNI-USD,0.11834907632560035,10.0
27,CELO-USD,ETH-USD,0.0004903607264217668,1.0
28,ENJ-USD,ZRX-USD,1.887367607176206,7.0
29,ENJ-USD,XLM-USD,5.275919156928219,20.0
30,ENJ-USD,EOS-USD,0.42003017869492715,23.0
31,ENJ-USD,ALGO-USD,1.7755723915658095,9.0
32,ENJ-USD,BTC-USD,2.0131300333453857e-05,3.0
33,ENJ-USD,DOT-USD,0.0697259304428609,15.0
34,ENJ-USD,SOL-USD,0.020540883343334766,21.0
35,ENJ-USD,UNI-USD,0.06956022111860516,14.0
36,ENJ-USD,1INCH-USD,0.8313903202263655,24.0
37,ENJ-USD,ETH-USD,0.0002882445477944369,1.0
38,RUNE-USD,YFI-USD,0.0002379902206293475,9.0
39,RUNE-USD,NEAR-USD,0.7149185479519087,5.0
40,RUNE-USD,XMR-USD,0.010841586397447929,6.0
41,RUNE-USD,SUSHI-USD,1.2645772399648723,7.0
42,RUNE-USD,UMA-USD,0.8408505750234214,12.0
43,RUNE-USD,AVAX-USD,0.09143469773137222,3.0
44,FIL-USD,EOS-USD,5.231648029944852,15.0
45,FIL-USD,BTC-USD,0.0002498542500687352,16.0
46,FIL-USD,MATIC-USD,4.412066495550489,12.0
47,FIL-USD,AVAX-USD,0.3026719576497736,18.0
48,ZRX-USD,XLM-USD,2.79477395609946,17.0
49,ZRX-USD,UNI-USD,0.036849983195972144,8.0
50,YFI-USD,XLM-USD,82811.83333067337,13.0
51,YFI-USD,1INCH-USD,13048.245445558081,16.0
52,YFI-USD,AVAX-USD,384.0945275525795,3.0
53,COMP-USD,UMA-USD,25.318590544408508,5.0
54,COMP-USD,ETH-USD,0.03240035802645193,1.0
55,XLM-USD,UMA-USD,0.04265714930457824,11.0
56,EOS-USD,DOT-USD,0.1659152048226133,6.0
57,NEAR-USD,ALGO-USD,9.235618621080079,3.0
58,NEAR-USD,SUSHI-USD,1.7595190310724471,4.0
59,NEAR-USD,ADA-USD,6.2848030946391535,3.0
60,NEAR-USD,UMA-USD,1.1709941899132537,4.0
61,NEAR-USD,BTC-USD,0.00010469310379625625,3.0
62,NEAR-USD,DOT-USD,0.3625045357138704,4.0
63,NEAR-USD,CRV-USD,2.2377920502742024,5.0
64,NEAR-USD,SOL-USD,0.10683245482002876,4.0
65,NEAR-USD,AAVE-USD,0.028689636381494348,3.0
66,NEAR-USD,UNI-USD,0.3617006888968058,4.0
67,NEAR-USD,MATIC-USD,1.8381776594832013,4.0
68,NEAR-USD,AVAX-USD,0.12722435514095592,3.0
69,NEAR-USD,ETH-USD,0.0014993849890615348,2.0
70,ALGO-USD,UMA-USD,0.12676643552957484,8.0
71,ALGO-USD,ETH-USD,0.00016230956393477094,1.0
72,XMR-USD,SUSHI-USD,116.54984371407448,23.0
73,SUSHI-USD,AVAX-USD,0.07229066777016055,3.0
74,SUSHI-USD,ETH-USD,0.0008513927712119523,1.0
75,ADA-USD,AAVE-USD,0.004564372007169982,5.0
76,UMA-USD,1INCH-USD,3.69055863198477,5.0
77,UMA-USD,AVAX-USD,0.1085765483336949,3.0
78,DOT-USD,UNI-USD,0.9967575083872302,17.0
79,SOL-USD,UNI-USD,3.382643244525152,18.0
80,AAVE-USD,AVAX-USD,4.433475153190281,4.0
81,AVAX-USD,ETH-USD,0.011766761050925289,1.0
